epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.868,0.2504,0.67108,1.05642,0.96341,0.9714,0.9919,0.99102,0.157,0.26607,0.3717,3.96596e-05,3.96596e-05,3.96596e-05
2,657.334,0.07098,0.20833,0.88096,0.95794,0.98363,0.9928,0.99252,0.13689,0.23849,0.3488,7.1473e-05,7.1473e-05,7.1473e-05
3,951.315,0.06148,0.17012,0.87535,0.97988,0.97229,0.99341,0.99302,0.11777,0.22177,0.31895,9.54323e-05,9.54323e-05,9.54323e-05
4,1230.19,0.05297,0.14793,0.87094,0.97761,0.97713,0.99374,0.99368,0.14217,0.25013,0.34279,8.3657e-05,8.3657e-05,8.3657e-05
5,1504.91,0.04613,0.12869,0.86909,0.98478,0.97637,0.99383,0.99379,0.12881,0.22324,0.33652,7.1876e-05,7.1876e-05,7.1876e-05
6,1794.52,0.04148,0.11416,0.86332,0.9839,0.97738,0.99428,0.99424,0.12636,0.2136,0.33298,6.0095e-05,6.0095e-05,6.0095e-05
7,2087.88,0.03747,0.09842,0.86551,0.9828,0.98448,0.99431,0.99428,0.12592,0.21577,0.33346,4.8314e-05,4.8314e-05,4.8314e-05
8,2369.37,0.03422,0.08735,0.86452,0.98182,0.98317,0.9944,0.99439,0.11199,0.20014,0.31214,3.6533e-05,3.6533e-05,3.6533e-05
9,2654.84,0.03183,0.07905,0.86339,0.98595,0.98437,0.99446,0.99444,0.11455,0.2132,0.31468,2.4752e-05,2.4752e-05,2.4752e-05
10,2969.01,inf,0.06882,0.86372,0.98949,0.98152,0.99455,0.99452,0.11238,0.20299,0.31528,1.2971e-05,1.2971e-05,1.2971e-05
