epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,22.8933,1.00235,2.47079,1.49461,0.93866,0.37741,0.55133,0.41783,1.63281,2.04051,1.40876,1.4776e-05,1.4776e-05,1.4776e-05
24,23.7106,0.97585,2.5271,1.37024,0.93669,0.38041,0.53322,0.37515,1.66939,2.17053,1.43591,1.49057e-05,1.49057e-05,1.49057e-05
25,24.6371,0.91636,2.05673,1.25329,0.93669,0.38041,0.53322,0.37515,1.66939,2.17053,1.43591,1.49883e-05,1.49883e-05,1.49883e-05
26,25.5485,1.1844,2.76741,1.41053,0.93669,0.38041,0.53322,0.37515,1.66939,2.17053,1.43591,1.50238e-05,1.50238e-05,1.50238e-05
27,26.4161,1.11092,2.28609,1.37718,0.93669,0.38041,0.53322,0.37515,1.66939,2.17053,1.43591,1.50121e-05,1.50121e-05,1.50121e-05
28,27.3321,1.16825,1.72838,1.43902,0.93669,0.38041,0.53322,0.37515,1.66939,2.17053,1.43591,1.49533e-05,1.49533e-05,1.49533e-05
29,28.1746,1.31581,2.88817,1.66457,0.94158,0.38333,0.50111,0.35229,1.68563,2.25053,1.44784,1.48474e-05,1.48474e-05,1.48474e-05
30,29.0387,0.93026,2.59415,1.47507,0.94158,0.38333,0.50111,0.35229,1.68563,2.25053,1.44784,1.46944e-05,1.46944e-05,1.46944e-05
31,29.9096,1.08678,2.63374,1.47446,0.94158,0.38333,0.50111,0.35229,1.68563,2.25053,1.44784,1.44942e-05,1.44942e-05,1.44942e-05
32,30.7561,1.01895,2.89909,1.53015,0.94158,0.38333,0.50111,0.35229,1.68563,2.25053,1.44784,1.42469e-05,1.42469e-05,1.42469e-05
33,31.6811,0.96798,1.78611,1.38965,0.94158,0.38333,0.50111,0.35229,1.68563,2.25053,1.44784,1.39525e-05,1.39525e-05,1.39525e-05
34,32.7563,1.18346,2.56313,1.35686,0.94158,0.38333,0.50111,0.35229,1.68563,2.25053,1.44784,1.3611e-05,1.3611e-05,1.3611e-05
35,33.6434,0.80811,1.72847,1.1668,0.92974,0.38333,0.47271,0.32606,1.83378,2.33902,1.58771,1.32223e-05,1.32223e-05,1.32223e-05
36,34.4823,0.7614,2.56044,1.26236,0.92974,0.38333,0.47271,0.32606,1.83378,2.33902,1.58771,1.27866e-05,1.27866e-05,1.27866e-05
37,35.2598,1.13248,2.56327,1.56007,0.92974,0.38333,0.47271,0.32606,1.83378,2.33902,1.58771,1.23036e-05,1.23036e-05,1.23036e-05
38,36.1648,1.07049,2.1641,1.27309,0.92974,0.38333,0.47271,0.32606,1.83378,2.33902,1.58771,1.17736e-05,1.17736e-05,1.17736e-05
39,37.0075,0.63651,1.77786,1.0165,0.92974,0.38333,0.47271,0.32606,1.83378,2.33902,1.58771,1.11965e-05,1.11965e-05,1.11965e-05
40,37.8535,1.19999,2.40016,1.50635,0.92974,0.38333,0.47271,0.32606,1.83378,2.33902,1.58771,1.05722e-05,1.05722e-05,1.05722e-05
41,42.4956,0.86358,1.40418,1.12842,0.92974,0.38333,0.47271,0.32606,1.83378,2.33902,1.58771,9.9008e-06,9.9008e-06,9.9008e-06
42,43.5135,0.70468,1.45303,1.18976,0.92996,0.38333,0.45356,0.29566,1.83272,2.49103,1.6218,9.18228e-06,9.18228e-06,9.18228e-06
43,44.4589,0.87102,1.45811,1.17977,0.92996,0.38333,0.45356,0.29566,1.83272,2.49103,1.6218,8.41663e-06,8.41663e-06,8.41663e-06
44,45.3088,0.69651,1.17747,1.10012,0.92996,0.38333,0.45356,0.29566,1.83272,2.49103,1.6218,7.60386e-06,7.60386e-06,7.60386e-06
45,46.1193,0.84334,1.61955,1.15141,0.92996,0.38333,0.45356,0.29566,1.83272,2.49103,1.6218,6.74397e-06,6.74397e-06,6.74397e-06
46,46.9814,0.85525,1.73622,1.16157,0.92996,0.38333,0.45356,0.29566,1.83272,2.49103,1.6218,5.83695e-06,5.83695e-06,5.83695e-06
47,47.8302,0.74619,1.00827,1.10563,0.92996,0.38333,0.45356,0.29566,1.83272,2.49103,1.6218,4.88281e-06,4.88281e-06,4.88281e-06
48,48.709,0.89473,1.32179,1.07643,0.92996,0.38333,0.45356,0.29566,1.83272,2.49103,1.6218,3.88154e-06,3.88154e-06,3.88154e-06
49,49.4325,0.94467,1.59766,1.41618,0.92996,0.38333,0.45356,0.29566,1.83272,2.49103,1.6218,2.83315e-06,2.83315e-06,2.83315e-06
50,50.2824,0.68736,1.13081,1.11372,0.93691,0.38333,0.47009,0.30166,1.82996,2.51133,1.62188,1.73764e-06,1.73764e-06,1.73764e-06
