epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16891,1.02344,2.91904,1.29173,0.78542,0.83333,0.88863,0.63261,1.44683,1.40877,1.28696,0,0,0
2,4.46958,1.2733,3.1048,1.61424,0.78665,0.75,0.87437,0.62429,1.45774,1.40683,1.29014,1.16644e-06,1.16644e-06,1.16644e-06
3,4.71138,1.27126,2.78412,1.53403,0.74724,0.75,0.87464,0.61442,1.45575,1.43235,1.28938,2.28575e-06,2.28575e-06,2.28575e-06
4,5.32379,1.1027,2.67425,1.31113,0.70294,0.75,0.87484,0.59775,1.49323,1.45913,1.30691,3.35794e-06,3.35794e-06,3.35794e-06
5,6.15586,1.13274,2.93149,1.52217,0.70294,0.75,0.87484,0.59775,1.49323,1.45913,1.30691,4.38301e-06,4.38301e-06,4.38301e-06
6,6.89103,1.15335,2.3686,1.38193,0.74667,0.75,0.88873,0.59223,1.53832,1.55829,1.33535,5.36095e-06,5.36095e-06,5.36095e-06
7,7.73565,1.53857,3.6161,1.82579,0.74667,0.75,0.88873,0.59223,1.53832,1.55829,1.33535,6.29177e-06,6.29177e-06,6.29177e-06
8,8.70693,1.35931,3.39849,1.77915,0.85814,0.58333,0.87471,0.58452,1.56414,1.66901,1.3656,7.17546e-06,7.17546e-06,7.17546e-06
9,9.5728,1.50441,2.84372,1.62126,0.85814,0.58333,0.87471,0.58452,1.56414,1.66901,1.3656,8.01203e-06,8.01203e-06,8.01203e-06
10,10.5644,1.37922,2.71312,1.66281,0.79673,0.58333,0.75063,0.56648,1.57301,1.7385,1.36654,8.80148e-06,8.80148e-06,8.80148e-06
11,11.4107,1.23136,2.11836,1.50992,0.79673,0.58333,0.75063,0.56648,1.57301,1.7385,1.36654,9.5438e-06,9.5438e-06,9.5438e-06
12,12.4006,1.37766,3.24608,1.65093,0.79673,0.58333,0.75063,0.56648,1.57301,1.7385,1.36654,1.0239e-05,1.0239e-05,1.0239e-05
13,13.5196,1.20329,2.892,1.53169,0.7382,0.58333,0.7507,0.56642,1.55666,1.82319,1.37228,1.08871e-05,1.08871e-05,1.08871e-05
14,14.4462,1.05924,2.61137,1.38988,0.7382,0.58333,0.7507,0.56642,1.55666,1.82319,1.37228,1.1488e-05,1.1488e-05,1.1488e-05
15,15.3059,1.2818,2.98059,1.58372,0.7382,0.58333,0.7507,0.56642,1.55666,1.82319,1.37228,1.20418e-05,1.20418e-05,1.20418e-05
16,16.244,1.12513,2.78668,1.42742,0.80744,0.41667,0.74528,0.56224,1.59445,1.92134,1.38632,1.25486e-05,1.25486e-05,1.25486e-05
17,17.2008,0.96378,3.32565,1.38402,0.80744,0.41667,0.74528,0.56224,1.59445,1.92134,1.38632,1.30081e-05,1.30081e-05,1.30081e-05
18,18.1255,0.96094,3.31688,1.34412,0.80744,0.41667,0.74528,0.56224,1.59445,1.92134,1.38632,1.34206e-05,1.34206e-05,1.34206e-05
19,19.0815,1.12361,2.99447,1.53062,0.80744,0.41667,0.74528,0.56224,1.59445,1.92134,1.38632,1.37859e-05,1.37859e-05,1.37859e-05
20,20.2632,1.39123,3.07697,1.62925,0.93866,0.37741,0.55133,0.41783,1.63281,2.04051,1.40876,1.41041e-05,1.41041e-05,1.41041e-05
21,21.0806,1.2637,2.74181,1.64825,0.93866,0.37741,0.55133,0.41783,1.63281,2.04051,1.40876,1.43752e-05,1.43752e-05,1.43752e-05
22,21.9434,1.20519,3.12939,1.5973,0.93866,0.37741,0.55133,0.41783,1.63281,2.04051,1.40876,1.45992e-05,1.45992e-05,1.45992e-05
